Topic,Link,Total = 73 papers across the 3
The impact of the Russian-Ukrainian war on global financial markets,https://www.sciencedirect.com/science/article/pii/S105752192300114X,
Information in Financial Markets and Its Real Effects*,https://academic.oup.com/rof/article/27/1/1/6659542,
Taxing cryptocurrencies,https://academic.oup.com/oxrep/article/39/3/478/7245712,
Cryptocurrencies: market analysis and perspectives,https://link.springer.com/article/10.1007/s40812-019-00138-6,
A Statistical Analysis of Cryptocurrencies,https://www.mdpi.com/1911-8074/10/2/12,
Privacy-Preserving Multi-Party Cross-Chain Transaction Protocols,https://www.mdpi.com/2410-387X/8/1/6,
Unveiling Cryptocurrency Impact on Financial Markets and Traditional Banking Systems: Lessons for Sustainable Blockchain and Interdisciplinary Collaborations,https://www.mdpi.com/1911-8074/17/2/58,
Decentralization Is Good or Not? Defending Consensus in Ethereum 2.0,https://www.mdpi.com/2813-5288/2/1/1,
"Review of Blockchain’s Role in E-Commerce Transactions: Open Challenges, and Future Research Directions",https://www.mdpi.com/2073-431X/13/1/27,
Time Series Forecasting Utilizing Automated Machine Learning (AutoML): A Comparative Analysis Study on Diverse Datasets,https://www.mdpi.com/2078-2489/15/1/39,
Is Monetary Policy a Driver of Cryptocurrencies? Evidence from a Structural Break GARCH-MIDAS Approach,https://www.mdpi.com/2225-1146/12/1/2,
Time-Varying Bidirectional Causal Relationships between Transaction Fees and Economic Activity of Subsystems Utilizing the Ethereum Blockchain Network,https://www.mdpi.com/1911-8074/17/1/19,
Blockchain Architectures for the Digital Economy: Trends and Opportunities,https://www.mdpi.com/2071-1050/16/1/442,
Blockchain-Powered Gaming: Bridging Entertainment with Serious Game Objectives,https://www.mdpi.com/2073-431X/13/1/14,
Unveiling the Influencing Factors of Cryptocurrency Return Volatility,https://www.mdpi.com/1911-8074/17/1/12,
Using Machine Learning of Artificial Intelligence to Analyze Business Opportunities and Applications of the Massively Multiplayer Online Role-Playing Game Case in Metaverse,https://www.mdpi.com/2673-4591/55/1/12,
Enhancing Cryptocurrency Price Forecasting by Integrating Machine Learning with Social Media and Market Data,https://www.mdpi.com/1999-4893/16/12/542,
Navigating the Future: Blockchain’s Impact on Accounting and Auditing Practices,https://www.mdpi.com/2071-1050/15/24/16887,
Performance Comparison of Directed Acyclic Graph-Based Distributed Ledgers and Blockchain Platforms,https://www.mdpi.com/2073-431X/12/12/257,
Are Cryptocurrency Forks Wealth Creating?,https://www.mdpi.com/1911-8074/16/12/510,
Chance or Chaos? Fractal Geometry Aimed to Inspect the Nature of Bitcoin,https://www.mdpi.com/2504-3110/7/12/870,
Fintech Adoption Factors: A Study on an Educated Romanian Population,https://www.mdpi.com/2075-4698/13/12/262,
Thermodynamic Analysis of Financial Markets: Measuring Order Book Dynamics with Temperature and Entropy,https://www.mdpi.com/1099-4300/26/1/24,
Using Big Data Analytics and Heatmap Matrix Visualization to Enhance Cryptocurrency Trading Decisions,https://www.mdpi.com/2076-3417/14/1/154,
Threshold/Multi Adaptor Signature and Their Applications in Blockchains,https://www.mdpi.com/2079-9292/13/1/76,
How Should Cryptocurrencies Be Defined and Reported? An Exploratory Study of Accounting Professor Opinions,https://www.mdpi.com/1911-8074/17/1/3,
Enhancing Cryptocurrency Price Forecasting by Integrating Machine Learning with Social Media and Market Data,https://www.mdpi.com/1999-4893/16/12/542,
Active Learning in the Detection of Anomalies in Cryptocurrency Transactions,https://www.mdpi.com/2504-4990/5/4/84,
Blockchain in Peer-to-Peer Platforms: Enhancing Sustainability and Customer Experience in Tourism,https://www.mdpi.com/2071-1050/15/22/15968,
The Relationship between a Company’s Cryptocurrency Holdings and Its Sustainable Performance—With a Focus on External and Internal Financial Issues and Cash,https://www.mdpi.com/2071-1050/15/23/16188,
Blockchain in Peer-to-Peer Platforms: Enhancing Sustainability and Customer Experience in Tourism,https://www.mdpi.com/2071-1050/15/22/15968,
Optimization of Cryptocurrency Algorithmic Trading Strategies Using the Decomposition Approach,https://www.mdpi.com/2504-2289/7/4/174,